system;class;Bridge;Composite;ChainOfResponsibility;TemplateMethod;FactoryMethod;Prototype;cbo;wmc;dit;rfc;nom;loc;GC;RPB;FE;LM
jasperreports;net.sf.jasperreports.engine.design.JRDesignLine;0;0;1;1;1;0;8;14;4;11;11;75;0;1;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignRectangle;0;0;1;1;1;0;8;10;4;7;9;60;0;0;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignStaticText;0;0;1;1;1;0;6;6;4;4;6;38;0;0;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignSubreport;0;0;1;1;1;0;16;43;3;35;27;232;0;1;0;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignTextElement;0;0;1;1;1;0;21;162;3;118;142;744;1;1;1;0
jasperreports;net.sf.jasperreports.engine.design.JRDesignTextField;0;0;1;1;1;0;17;68;4;44;51;356;1;1;0;0
jasperreports;net.sf.jasperreports.engine.design.JRJavacCompiler;0;0;1;1;0;0;3;7;5;10;1;50;0;0;0;1
jasperreports;net.sf.jasperreports.engine.design.JRJdk13Compiler;0;0;1;1;0;0;5;9;5;13;1;67;0;0;0;0
jasperreports;net.sf.jasperreports.engine.design.JRJdtCompiler;0;0;1;1;0;0;28;37;3;43;13;498;1;1;1;0
jasperreports;net.sf.jasperreports.engine.design.JRJikesCompiler;0;0;1;1;0;0;3;7;5;10;1;50;0;0;0;1
jasperreports;net.sf.jasperreports.engine.design.JRReportCompileData;0;0;1;0;0;0;6;13;1;10;9;78;0;0;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillBreak;0;0;1;1;1;0;13;27;2;18;16;131;0;1;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillComponentElement;0;0;1;1;1;0;24;40;2;40;24;177;0;1;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillElement;0;0;1;1;1;0;42;199;1;153;119;931;1;0;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillEllipse;0;0;1;1;1;0;16;10;3;20;10;66;0;0;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillFrame;0;0;1;1;1;0;29;109;4;102;76;508;1;1;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillGenericElement;0;0;1;1;1;0;20;43;2;59;21;200;0;1;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillGraphicElement;0;0;1;1;1;0;13;40;2;27;18;135;0;1;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillImage;0;0;1;1;1;0;45;206;3;207;127;886;1;1;0;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillLine;0;0;1;1;1;0;17;14;3;22;14;84;0;1;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillRectangle;0;0;1;1;1;0;18;14;3;22;14;84;0;1;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillStaticText;0;0;1;1;1;0;17;37;3;49;13;149;0;1;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillSubreport;0;0;1;1;1;0;55;151;2;161;47;785;1;1;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillTextElement;0;0;1;1;1;0;38;198;2;151;171;873;1;1;1;0
jasperreports;net.sf.jasperreports.engine.fill.JRFillTextField;0;0;1;1;1;0;32;109;3;149;48;525;1;1;0;0
jasperreports;net.sf.jasperreports.engine.fill.JRTemplateElement;0;0;1;1;0;0;11;38;1;24;33;189;0;0;0;0
jasperreports;net.sf.jasperreports.engine.fill.JRTemplateEllipse;0;0;1;1;0;0;6;3;3;2;3;24;0;0;0;0
